#{"t_start": 1743499255.208805, "env_id": "None"}
r,l,t
46.0,20,9.266311
49.0,31,9.287628
47.0,12,9.292346
46.0,9,9.296081
49.0,10,9.299934
186.0,35,9.314574
50.0,12,9.337548
66.0,39,9.376575
22.0,12,9.387609
32.0,16,9.395649
-2.0,11,9.400684
15.0,2,9.401516
89.0,14,9.408748
31.0,33,9.418785
60.0,50,9.444379
22.0,43,9.46093
18.0,8,9.465065
86.0,40,9.493773
58.0,12,9.498596
83.0,19,9.505187
113.0,50,9.524877
5.0,1,9.525781
18.0,2,9.528769
8.0,6,9.534632
134.0,48,9.593324
43.0,12,9.600422
65.0,43,9.625516
1.0,6,9.627553
30.0,50,9.66002
52.0,15,9.668982
238.0,43,9.713549
171.0,31,9.728297
-6.0,7,9.731853
69.0,23,9.746124
102.0,29,9.755661
72.0,32,9.769063
10.0,20,9.789233
78.0,21,9.797598
61.0,18,9.805124
28.0,6,9.80723
167.0,50,9.824045
0.0,30,9.841774
34.0,34,9.85379
162.0,50,9.869622
34.0,35,9.896975
252.0,50,9.923703
78.0,10,9.936261
3.0,3,9.939702
8.0,6,9.943512
41.0,10,9.946382
82.0,35,9.960634
59.0,10,9.963491
0.0,1,9.963914
21.0,7,9.966118
-15.0,19,9.971901
3.0,9,9.980987
98.0,31,10.004042
-2.0,2,10.004766
62.0,50,10.025022
-2.0,20,10.039117
32.0,5,10.042366
64.0,50,10.061506
46.0,14,10.066322
133.0,50,10.099912
33.0,8,10.102337
13.0,1,10.102887
65.0,18,10.129405
144.0,36,10.154603
84.0,39,10.166569
31.0,6,10.169095
62.0,29,10.177944
12.0,1,10.178329
109.0,32,10.187507
55.0,8,10.189981
44.0,12,10.193652
84.0,22,10.19994
208.0,50,10.23021
166.0,50,10.246368
153.0,42,10.259451
95.0,50,10.276237
118.0,44,10.288749
22.0,29,10.29726
17.0,13,10.301083
2.0,1,10.301503
3.0,2,10.302128
25.0,7,10.304167
52.0,26,10.317451
63.0,30,10.328763
18.0,18,10.337926
8.0,6,10.340311
54.0,16,10.345492
74.0,15,10.350732
9.0,9,10.353341
44.0,16,10.358185
62.0,30,10.367236
82.0,33,10.377256
-36.0,13,10.382629
50.0,20,10.395164
218.0,50,10.412819
41.0,9,10.415451
13.0,22,10.422065
104.0,32,10.431858
14.0,20,10.438212
98.0,30,10.448498
50.0,6,10.450301
72.0,20,10.456329
28.0,3,10.458965
12.0,1,10.45935
8.0,8,10.462573
27.0,10,10.469365
24.0,5,10.471479
-2.0,14,10.477659
117.0,22,10.483952
2.0,9,10.489376
49.0,20,10.495461
143.0,25,10.502781
-4.0,5,10.507106
3.0,29,10.517773
13.0,1,10.518181
70.0,16,10.522707
32.0,9,10.664287
62.0,27,10.723488
17.0,17,10.7388
82.0,16,10.760895
50.0,42,10.819608
33.0,7,10.825202
119.0,23,10.859558
82.0,29,10.877942
-21.0,7,10.882601
12.0,8,10.887128
57.0,13,10.892322
36.0,6,10.894352
47.0,28,10.902671
67.0,26,10.910639
56.0,18,10.915766
38.0,10,10.918777
23.0,12,10.924177
42.0,32,10.94274
59.0,10,10.94598
77.0,19,10.951406
2.0,1,10.952864
14.0,6,10.955542
51.0,11,10.959128
17.0,7,10.961226
-6.0,5,10.962746
100.0,22,10.968945
140.0,50,10.991186
141.0,37,11.005959
77.0,14,11.016662
5.0,13,11.020534
14.0,6,11.022757
0.0,1,11.024184
0.0,1,11.026149
137.0,41,11.042173
-12.0,3,11.043474
30.0,4,11.04518
35.0,25,11.056762
39.0,15,11.071067
81.0,14,11.082764
28.0,8,11.086605
35.0,17,11.097382
27.0,6,11.099335
69.0,22,11.111755
47.0,25,11.12356
-5.0,8,11.130173
120.0,32,11.142081
168.0,43,11.167773
8.0,3,11.169514
0.0,1,11.169893
49.0,21,11.182747
20.0,9,11.186948
7.0,18,11.197741
44.0,9,11.202201
34.0,17,11.209776
151.0,38,11.220943
80.0,23,11.228671
-2.0,7,11.233533
23.0,5,11.235789
13.0,9,11.244087
98.0,43,11.260773
130.0,29,11.269071
190.0,43,11.282133
26.0,7,11.284178
113.0,27,11.294497
12.0,17,11.299604
90.0,37,11.31021
34.0,16,11.316586
47.0,20,11.332227
84.0,27,11.339809
200.0,50,11.356174
26.0,18,11.362033
80.0,17,11.366991
109.0,50,11.382946
155.0,50,11.39698
140.0,30,11.405202
53.0,35,11.414946
1.0,4,11.418681
121.0,50,11.442593
25.0,4,11.443848
26.0,12,11.449921
78.0,18,11.455758
12.0,14,11.460275
96.0,20,11.466857
36.0,8,11.469308
158.0,48,11.489384
-2.0,10,11.493171
51.0,22,11.505024
-1.0,23,11.522609
25.0,4,11.523892
101.0,14,11.533486
204.0,50,11.64875
33.0,6,11.662365
43.0,14,11.666955
3.0,13,11.680042
128.0,50,11.713331
123.0,25,11.743769
87.0,25,11.78968
29.0,9,11.795573
26.0,40,11.820428
49.0,34,11.836748
-4.0,5,11.838474
25.0,5,11.842672
94.0,37,11.855324
29.0,16,11.863089
108.0,23,11.871434
6.0,30,11.884055
53.0,6,11.887336
14.0,33,11.904197
18.0,35,11.921809
39.0,6,11.923598
98.0,29,11.933134
5.0,3,11.935572
94.0,50,11.951965
74.0,43,11.965033
84.0,29,11.97303
77.0,46,11.987159
0.0,14,11.995552
-17.0,14,11.999735
18.0,2,12.000821
7.0,16,12.006049
16.0,6,12.008724
48.0,22,12.015984
114.0,22,12.022501
-3.0,15,12.030309
8.0,16,12.034874
24.0,13,12.041906
-15.0,16,12.049719
51.0,9,12.056792
154.0,36,12.069176
-7.0,9,12.071969
133.0,31,12.084522
59.0,20,12.090177
197.0,50,12.111646
81.0,19,12.116966
151.0,41,12.131164
95.0,33,12.142538
141.0,50,12.163218
111.0,38,12.17721
93.0,50,12.19498
170.0,50,12.212921
70.0,33,12.222024
67.0,18,12.228667
26.0,19,12.234333
58.0,18,12.239298
90.0,50,12.25452
70.0,16,12.26065
3.0,2,12.263252
174.0,48,12.285389
58.0,17,12.298707
95.0,20,12.304838
14.0,11,12.309286
105.0,37,12.32251
89.0,21,12.329871
31.0,8,12.332212
-7.0,17,12.337271
72.0,17,12.343144
90.0,22,12.353784
126.0,50,12.37094
-14.0,5,12.37261
178.0,50,12.393428
42.0,11,12.396931
74.0,19,12.406576
83.0,24,12.413869
69.0,19,12.419286
57.0,18,12.42606
-17.0,4,12.427943
32.0,8,12.432991
77.0,45,12.454622
61.0,16,12.465485
146.0,47,12.48723
11.0,5,12.493158
24.0,10,12.496301
58.0,17,12.501527
7.0,2,12.503442
165.0,32,12.513346
32.0,8,12.515661
91.0,24,12.545281
18.0,2,12.546004
35.0,7,12.548037
0.0,4,12.549344
15.0,6,12.551082
150.0,50,12.570859
61.0,41,12.585257
37.0,8,12.587578
114.0,50,12.602068
124.0,50,12.615958
85.0,26,12.632527
30.0,8,12.634886
58.0,17,12.639658
60.0,14,12.648126
27.0,5,12.649629
15.0,1,12.650078
57.0,42,12.664384
40.0,11,12.667501
162.0,50,12.683699
105.0,44,12.698699
29.0,26,12.714197
111.0,50,12.733875
